seed,expanded_exact_success,expanded_exact_success_rate,expanded_transfer_f1,expanded_add_f1,expanded_remove_f1,expanded_procedural_transfer_f1,expanded_isaac_transfer_f1,expanded_false_switches,expanded_graph_violations,expanded_transfer_f1_independent,expanded_transfer_f1_state_consistency
0,217,1.0,0.9977011494252873,1.0,0.9954128440366972,1.0,0.9938650306748467,2,0,0.6354319180087847,0.0
1,217,1.0,0.9977011494252873,1.0,0.9954128440366972,1.0,0.9938650306748467,2,0,0.6335766423357664,0.0
2,217,1.0,0.9977011494252873,1.0,0.9954128440366972,1.0,0.9938650306748467,2,0,0.6002766251728907,0.0
3,217,1.0,0.9954128440366972,0.9954128440366972,0.9954128440366972,1.0,0.9878048780487805,4,0,0.5928961748633881,0.0
4,217,1.0,0.9954128440366972,0.9954128440366972,0.9954128440366972,1.0,0.9878048780487805,4,0,0.6104078762306611,0.0
